"Fecha","Tipo de dólar","Precio de venta","Precio de compra"
"17/04/12","Informal","5.010",""
"18/04/12","Casas de cambio","4.420",""
"18/04/12","Informal","5.020",""
"19/04/12","Casas de cambio","4.425",""
"19/04/12","Informal","5.020",""
"20/04/12","Casas de cambio","4.430",""
"20/04/12","Informal","5.020",""
"23/04/12","Casas de cambio","4.430",""
"23/04/12","Informal","5.040",""
"24/04/12","Casas de cambio","4.430",""
"24/04/12","Informal","5.130",""
"25/04/12","Casas de cambio","4.430",""
"25/04/12","Informal","5.140",""
"26/04/12","Casas de cambio","4.435",""
"26/04/12","Informal","5.100",""
"27/04/12","Casas de cambio","4.435",""
"27/04/12","Informal","5.090",""
"02/05/12","Casas de cambio","4.440",""
"02/05/12","Informal","5.080",""
"03/05/12","Casas de cambio","4.440",""
"03/05/12","Informal","5.050",""
"04/05/12","Casas de cambio","4.450",""
"04/05/12","Informal","5.040",""
"07/05/12","Casas de cambio","4.455",""
"07/05/12","Informal","5.050",""
"08/05/12","Casas de cambio","4.465",""
"08/05/12","Informal","5.060",""
"09/05/12","Casas de cambio","4.470",""
"09/05/12","Informal","5.080",""
"10/05/12","Casas de cambio","4.470",""
"10/05/12","Informal","5.100",""
"11/05/12","Casas de cambio","4.470",""
"11/05/12","Informal","5.180",""
"14/05/12","Casas de cambio","4.470",""
"14/05/12","Informal","5.228",""
"15/05/12","Casas de cambio","4.448",""
"15/05/12","Informal","5.550",""
"16/05/12","Casas de cambio","4.475",""
"16/05/12","Informal","5.490",""
"17/05/12","Casas de cambio","4.475",""
"17/05/12","Informal","5.590",""
"18/05/12","Casas de cambio","4.475",""
"18/05/12","Informal","5.630",""
"21/05/12","Casas de cambio","4.480",""
"21/05/12","Informal","5.720",""
"22/05/12","Casas de cambio","4.485",""
"22/05/12","Informal","5.940",""
"23/05/12","Casas de cambio","4.490",""
"23/05/12","Informal","6.150",""
"24/05/12","Casas de cambio","4.490",""
"24/05/12","Informal","5.930",""
"28/05/12","Casas de cambio","4.495",""
"28/05/12","Informal","5.890",""
"29/05/12","Casas de cambio","4.495",""
"29/05/12","Informal","5.910",""
"30/05/12","Casas de cambio","4.495",""
"30/05/12","Informal","5.900",""
"31/05/12","Casas de cambio","4.495",""
"31/05/12","Informal","5.920",""
"01/06/12","Casas de cambio","4.495",""
"01/06/12","Informal","5.950",""
"04/06/12","Casas de cambio","4.495",""
"04/06/12","Informal","5.950",""
"05/06/12","Casas de cambio","4.500",""
"05/06/12","Informal","5.950",""
"06/06/12","Casas de cambio","4.510",""
"06/06/12","Informal","5.950",""
"07/06/12","Casas de cambio","4.515",""
"07/06/12","Informal","5.950",""
"08/06/12","Casas de cambio","4.515",""
"08/06/12","Informal","5.950",""
"11/06/12","Casas de cambio","4.515",""
"11/06/12","Informal","5.950",""
"12/06/12","Casas de cambio","4.515",""
"12/06/12","Informal","5.920",""
"13/06/12","Casas de cambio","4.515",""
"13/06/12","Informal","5.920",""
"14/06/12","Casas de cambio","4.515",""
"14/06/12","Informal","5.930",""
"15/06/12","Casas de cambio","4.515",""
"15/06/12","Informal","5.930",""
"18/06/12","Casas de cambio","4.515",""
"18/06/12","Informal","5.920",""
"19/06/12","Casas de cambio","4.515",""
"19/06/12","Informal","5.940",""
"21/06/12","Casas de cambio","4.525",""
"21/06/12","Informal","5.980",""
"22/06/12","Casas de cambio","4.525",""
"22/06/12","Informal","5.980",""
"25/06/12","Casas de cambio","4.530",""
"25/06/12","Informal","5.980",""
"26/06/12","Casas de cambio","4.530",""
"26/06/12","Informal","5.940",""
"27/06/12","Casas de cambio","4.530",""
"27/06/12","Informal","5.950",""
"28/06/12","Casas de cambio","4.540",""
